,code,days
1452,300118,1513
1453,600020,3233
1454,2167,2238
1455,600386,3829
1456,2409,1582
1457,2215,2138
1458,2295,1738
1459,600259,4004
1460,786,4720
1461,603017,465
1462,300086,1581
1463,2453,1545
1464,600725,4947
1465,300511,140
1466,600117,4632
1467,2293,1751
1468,601211,348
1469,300420,433
1470,300287,1175
1471,2723,690
1472,2070,2465
1473,2813,34
1474,600313,3839
1475,300045,1664
1476,2717,680
1477,600155,4403
1478,2240,2072
1479,600330,3840
1480,2696,1026
1481,600236,4044
1482,408,4949
1483,810,4481
1484,300122,1498
1485,600381,3777
1486,600966,3035
1487,600152,4476
1488,300232,1322
1489,300485,348
1490,603779,132
1491,600539,3699
1492,2213,2144
1493,600681,5624
1494,300198,1374
1495,519,5630
1496,739,4740
1497,679,4803
1498,600818,5550
1499,2564,1392
1500,2157,2257
1501,835,4220
1502,300355,1010
1503,2342,1660
1504,2552,1401
1505,600319,3803
1506,426,4906
1507,300408,485
1508,600705,4980
1509,300226,1332
1510,600898,4999
1511,833,4367
1512,600785,4815
1513,603738,39
1514,912,4236
1515,600649,5634
1516,2823,3
1517,601009,2278
1518,300040,1672
1519,2733,485
1520,600720,4937
1521,600207,4207
1522,600490,3264
1523,2690,1052
1524,600477,3172
1525,937,4166
1526,2064,2496
1527,2634,1210
1528,600351,3438
1529,807,4519
1530,2803,93
1531,300463,368
1532,2201,2169
1533,2111,2392
1534,2528,1440
1535,601233,1346
1536,600135,4563
1537,600322,3688
1538,300038,1672
1539,2244,2068
1540,2229,2083
1541,600779,4837
1542,600559,3421
1543,926,4225
1544,603005,687
1545,603898,433
1546,603101,138
1547,2378,1619
1548,601866,2179
1549,600078,4705
1550,635,4849
1551,600030,3373
1552,601616,1414
1553,300008,1721
1554,300091,1562
1555,2012,3016
1556,601900,195
1557,2191,2184
1558,300415,450
1559,2260,2035
1560,2166,2238
1561,600299,4024
1562,860,4372
1563,601313,1182
1564,972,3916
1565,600936,69
1566,603311,376
1567,603007,60
1568,529,5601
1569,300289,1164
1570,300217,1346
1571,2538,1424
1572,2262,2030
1573,300025,1721
1574,2688,1064
1575,710,4751
1576,908,4308
1577,603108,369
1578,600366,3897
1579,2005,3022
1580,909,4255
1581,953,4111
1582,603338,412
1583,300466,368
1584,300363,690
1585,600096,4699
1586,603021,392
1587,2466,1515
1588,721,4745
1589,601918,2174
1590,2472,1507
1591,601789,1283
1592,600613,5634
1593,2445,1550
1594,795,4677
1595,600326,3842
1596,600958,414
1597,600171,4399
1598,901,4280
1599,600021,3180
1600,300449,393
1601,600680,5624
1602,600831,5536
1603,600476,3150
1604,600475,3247
1605,300293,1149
1606,2065,2496
1607,603838,345
1608,2526,1445
1609,300548,34
1610,600583,3590
1611,2503,1467
1612,546,5581
1613,600647,5634
1614,584,5090
1615,2377,1625
1616,300377,692
1617,2303,1719
1618,300128,1492
1619,300290,1164
1620,603997,429
1621,601398,2454
1622,600252,3874
1623,600530,3738
1624,601689,416
1625,601766,2012
1626,2456,1535
1627,601005,2374
1628,603737,118
1629,2063,2496
1630,903,4270
1631,902,4275
1632,600149,4146
1633,300103,1528
1634,300285,1183
1635,600628,5634
1636,49,5268
1637,993,3957
1638,300407,485
1639,46,5395
1640,2440,1555
1641,300026,1721
1642,2332,1670
1643,300259,1272
1644,600466,3833
1645,601333,2414
1646,300500,197
1647,2066,2496
1648,600143,3024
1649,2312,1697
1650,670,4830
1651,600997,3039
1652,300383,690
1653,300401,524
1654,300002,1721
1655,2698,1022
1656,300502,182
1657,2106,2402
1658,2611,1273
1659,2779,237
